Z13,Mean,Outer Edge Length,Surface,Variance,Max_Deviation,Min_Deviation,Span_Deviation,F'i li,fl' li,fk' li,fi' li,F'i re,fl' re,fk' re,fi' re
KW_030,2649.639805,0.028594558,4.34512317790345e-07,7754473466.57954,7.438640309,0.209110742,7.229529567,18.096954,4.826237,14.022506,13.934735,10.050116,5.689025,5.624951,5.451119
KW_031,2649.627088,0.0454453,6.37835979489638e-07,7754473533.90333,7.438387797,0.20901279,7.229375007,19.450811,4.956739,15.36215,14.813987,8.374845,4.261799,4.592619,4.418862
KW_032,2649.626203,0.035949944,5.13772527264892e-07,7754473538.58322,7.43835404,0.209088446,7.229265594,20.987755,6.666594,15.257294,16.237048,10.776357,6.771795,5.047521,4.939703
KW_033,2649.629688,0.038915118,5.61879803216339e-07,7754473520.12936,7.438665767,0.209018088,7.229647679,20.109174,5.912695,15.20467,15.231246,19.391957,5.990943,19.862431,19.120148
KW_034,2649.626112,0.043766282,6.33001676629958e-07,7754473539.06542,7.438677256,0.209105159,7.229572097,20.285324,5.417723,15.9259,15.887347,10.013857,5.568212,5.181964,5.18521
KW_035,2649.623015,0.038766603,5.57623389177335e-07,7754473555.4635,7.438483646,0.209038192,7.229445453,18.218345,4.359088,15.571364,15.481172,8.116986,3.769296,4.662142,4.580131
KW_036,2649.63265,0.042064651,5.90280855803408e-07,7754473504.45207,7.438657173,0.208986261,7.229670912,19.479462,4.136453,16.370937,16.441423,8.063456,3.96927,5.937757,5.838476
KW_037,2649.625092,0.034884598,5.02580054216718e-07,7754473544.47688,7.438632201,0.209074366,7.229557835,20.198226,5.702449,15.111123,15.42527,10.353981,6.470755,4.552577,4.253996
KW_038,2649.632851,0.030225832,4.28524527207415e-07,7754473503.39769,7.438655976,0.209064085,7.229591891,18.699933,5.115223,14.582567,14.888975,10.074513,6.029786,4.411502,4.532227
KW_039,2649.637304,0.032606965,4.74489279422978e-07,7754473479.82177,7.438391747,0.209113152,7.229278595,19.440622,5.659202,14.418499,14.565887,8.926436,5.211563,4.974389,4.628787
KW_040,2649.627541,0.037889601,5.36615933358754e-07,7754473531.49167,7.438514193,0.209033623,7.22948057,21.071454,5.732021,15.937472,15.529757,8.908451,4.507308,4.646658,5.252361
KW_041,2649.620374,0.039815351,5.56667937511766e-07,7754473569.45548,7.438798242,0.209102108,7.229696134,20.228466,4.066963,16.443115,15.896753,8.682705,4.62842,5.329239,5.060241
