Z13,Mean,Outer Edge Length,Surface,Variance,Max_Deviation,Min_Deviation,Span_Deviation,F'i li,fl' li,fk' li,fi' li,F'i re,fl' re,fk' re,fi' re
KW_141,2649.64741,0.043525842,6.18147569261825e-07,7754473426.30809,7.438696022,0.209142834,7.229553188,19.562719,4.830208,15.51364,12.752636,13.597205,5.327679,13.37735,12.226376
KW_142,2649.640805,0.052270242,7.7209855083516e-07,7754473461.285,7.438686017,0.209094625,7.229591392,12.409166,4.473126,12.246333,12.262164,10.914573,5.554913,6.507681,7.314494
KW_143,2649.647609,0.038561918,5.40281230305125e-07,7754473425.25196,7.438288627,0.209117233,7.229171394,15.20824,3.888816,16.388743,11.8508,11.643527,3.614253,8.810261,7.606302
KW_144,2649.657156,0.039962885,5.83674199232688e-07,7754473374.71178,7.438661741,0.209114844,7.229546897,23.968564,6.157579,23.483688,20.218353,12.094518,5.72015,7.836082,8.208597
KW_145,2649.642547,0.04269375,6.5580328307871e-07,7754473452.05448,7.438608114,0.209111173,7.229496941,10.04932,4.634853,9.960007,8.333539,11.137975,5.078959,6.722607,6.373526
KW_146,2649.642937,0.045492656,6.48617006720903e-07,7754473449.99865,7.438671571,0.209037884,7.229633688,52.764155,7.026355,51.128333,51.099944,14.055487,6.922232,8.013795,7.862697
KW_147,2649.642791,0.04249153,6.17930310166479e-07,7754473450.77182,7.438659117,0.209083428,7.229575689,13.108409,5.138276,10.631844,11.508443,11.592719,3.78962,9.24899,8.457031
KW_148,2649.643855,0.045864908,6.80921393081387e-07,7754473445.14121,7.438460687,0.209124745,7.229335942,14.170442,6.70588,10.476336,10.754174,13.398329,6.900345,8.490996,7.9673
KW_149,2649.640589,0.047961167,6.94310473122558e-07,7754473462.42884,7.438685072,0.209079084,7.229605988,17.657686,3.867762,14.624792,14.358274,8.734843,3.8546,6.89937,7.255177
KW_150,2649.648458,0.046431432,7.02496202290106e-07,7754473420.76557,7.438382667,0.209070389,7.229312278,18.504171,5.482371,16.473157,12.456317,14.378573,5.833754,9.245393,8.714499
KW_151,2649.643709,0.036559201,5.30836427201698e-07,7754473445.91689,7.438351379,0.20902785,7.22932353,15.966591,6.026858,12.089587,12.236356,12.936954,5.458575,7.931442,7.419769
KW_152,2649.632648,0.032585735,4.5614850258108e-07,7754473504.47694,7.43887501,0.209003483,7.229871527,20.84706,5.304596,17.253751,16.668977,11.055401,4.626094,6.870861,7.104009
KW_153,2649.65349,0.023049447,3.18717106861057e-07,7754473394.1181,7.438607801,0.209046173,7.229561628,18.773705,3.58304,16.203211,16.517687,10.613543,4.061872,7.199955,7.521671
KW_154,2649.650213,0.031111875,4.2196012586722e-07,7754473411.46466,7.438587487,0.209130404,7.229457083,20.712819,5.083527,16.831359,16.723873,12.378825,5.519441,7.862035,8.17867
KW_155,2649.643546,0.033760484,4.84068727345048e-07,7754473446.77426,7.438294693,0.209035484,7.229259209,38.224471,6.041286,36.337637,37.049341,13.476088,6.570878,7.819903,7.531135
KW_156,2649.649714,0.0263832,3.71826312479304e-07,7754473414.1073,7.4386932,0.209119386,7.229573815,21.055048,5.217504,17.162874,17.484483,11.797393,4.655735,7.72314,7.422192
KW_157,2649.644991,0.020511701,2.72166588831991e-07,7754473439.12154,7.438688681,0.209166434,7.229522247,21.54005,5.612531,17.446802,17.889388,15.024697,4.475754,14.918311,15.024697
KW_158,2649.643543,0.033235779,4.58858827445481e-07,7754473446.78051,7.438433886,0.209129152,7.229304734,20.320918,4.064615,16.547591,16.665441,10.962874,4.604165,7.735271,7.803417
KW_159,2649.646767,0.039693374,5.38237711791918e-07,7754473429.70393,7.4387056,0.209139141,7.229566459,21.148991,4.505322,17.384167,17.14971,13.767344,6.301294,8.694352,8.588349
KW_160,2649.646772,0.035793602,4.97222365446644e-07,7754473429.68466,7.438650743,0.208989139,7.229661604,21.919643,6.274331,17.148066,16.543477,12.965798,5.891705,7.655439,7.378339
KW_161,2649.647448,0.027010436,3.85971199903533e-07,7754473426.10373,7.438376944,0.209012808,7.229364136,22.223953,6.206483,16.49558,16.422124,11.466589,4.563479,7.643082,7.579262
KW_162,2649.663657,0.025187642,3.35046220591223e-07,7754473340.29592,7.438760443,0.209106022,7.229654422,18.184792,3.296541,15.873366,16.023358,10.501822,3.067706,7.752981,7.17644
KW_163,2649.643434,0.034566706,4.61810020102674e-07,7754473447.36565,7.438757193,0.208985623,7.22977157,19.532569,3.261879,17.201135,17.181294,11.188444,3.853141,7.686158,7.373887
KW_164,2649.660758,0.022582445,2.9795301011979e-07,7754473355.65031,7.43861766,0.209068662,7.229548998,20.264102,5.928289,16.276206,16.21757,12.815112,6.045005,7.235156,7.627247
KW_165,2649.646704,0.024664199,3.27410756925653e-07,7754473430.06329,7.438312012,0.20904111,7.229270901,19.975058,5.561169,15.25173,15.491141,11.560935,5.521747,6.866026,7.116973
KW_166,2649.655351,0.031853755,4.08484653287956e-07,7754473384.2589,7.438663714,0.209053461,7.229610253,20.294844,2.847218,17.855424,17.534676,9.493709,2.278178,7.869601,7.607514
KW_167,2649.643919,0.034321163,4.66517814401747e-07,7754473444.80264,7.438404071,0.209025315,7.229378756,19.732803,4.165633,16.917502,16.934567,10.710585,4.228502,7.701943,7.312016
KW_168,2649.650762,0.034793965,4.58700650052551e-07,7754473408.55391,7.438691615,0.209150794,7.229540821,22.551951,5.998695,17.798325,17.997396,12.26282,5.543071,7.639632,8.238001
KW_169,2649.654736,0.028131044,3.95767099784779e-07,7754473387.52131,7.438409173,0.209126293,7.229282879,23.235741,6.198783,17.80452,17.363402,12.735273,6.01881,9.035297,9.201905
KW_170,2649.644963,0.016716088,2.08519849520614e-07,7754473439.27154,7.43835896,0.209151084,7.229207876,19.348534,5.058783,15.632837,15.86713,11.040444,4.246924,8.25482,8.008221
KW_171,2649.645005,0.0362605,5.1973179009656e-07,7754473439.05089,7.438634442,0.20901942,7.229615022,20.72283,4.353038,16.673388,16.858254,11.421128,4.601041,7.846281,8.068998
KW_172,2649.647966,0.022930446,3.05407471185565e-07,7754473423.37858,7.438733042,0.20901266,7.229720383,19.083529,4.166078,15.88621,16.165313,13.667202,5.074173,9.336931,8.819869
KW_173,2649.644837,0.042582697,5.77866522095443e-07,7754473439.92906,7.438720105,0.209040907,7.229679198,23.394161,7.224396,18.618507,19.206553,14.496328,7.373997,7.64065,8.479973
KW_174,2649.637402,0.039153477,5.40312380798034e-07,7754473479.30135,7.438653328,0.208999178,7.229654151,23.217359,6.359482,17.734036,18.254414,13.526596,5.060866,8.550623,8.308845
KW_175,2649.649566,0.025699512,3.65246058533147e-07,7754473414.89978,7.438658235,0.209056393,7.229601843,20.901888,5.566955,15.865223,16.335895,11.731813,4.370257,8.160797,7.976833
KW_176,2649.646044,0.041567427,5.66732743487132e-07,7754473433.54022,7.438324077,0.209106453,7.229217624,22.273552,5.165648,17.609209,16.853264,12.399318,5.828797,10.15235,10.355871
KW_177,2649.643632,0.032713124,4.50831927915165e-07,7754473446.31517,7.438683774,0.209155598,7.229528176,21.835995,6.359693,17.246075,17.401159,12.895897,6.249029,8.16836,8.320552
KW_178,2649.657184,0.023862035,3.3167337141879e-07,7754473374.572,7.438700367,0.20913944,7.229560928,18.445524,3.297174,16.483768,16.265942,9.593776,2.707423,7.790072,7.847318
KW_179,2649.665086,0.021899448,3.02669589019812e-07,7754473332.73018,7.438709292,0.20910791,7.229601382,19.612913,4.127796,16.219795,16.059559,9.972455,2.813972,7.542077,7.228406
KW_180,2649.651399,0.027329012,3.7549335190386e-07,7754473405.19467,7.438480272,0.209105205,7.229375067,23.416592,4.548916,21.524372,21.73415,12.718398,5.428552,11.205583,10.746692
KW_181,2649.646711,0.023576166,3.35822257593429e-07,7754473430.01899,7.43863066,0.208981894,7.229648765,20.014523,4.210102,16.776786,16.959778,11.954505,4.965769,9.597774,8.767061
KW_182,2649.641445,0.041317655,5.65884219793319e-07,7754473457.8874,7.438774253,0.209011169,7.229763083,21.005279,4.368629,17.315267,17.450273,10.58369,3.734769,7.613502,7.903477
KW_183,2649.646643,0.025301743,3.27794498426503e-07,7754473430.38108,7.438631487,0.209077196,7.229554291,21.686962,5.131251,16.824519,16.613833,10.776314,4.135365,7.002568,7.584775
KW_184,2649.648846,0.026637027,3.87916406728425e-07,7754473418.71434,7.438640779,0.209056356,7.229584423,23.437519,6.802957,19.860446,19.566487,14.049476,6.929058,8.333939,7.982768
KW_185,2649.648631,0.020851398,2.79169031800978e-07,7754473419.85753,7.438631201,0.209088014,7.229543186,20.734135,5.02911,16.402833,16.41598,13.063762,6.444161,7.955427,8.051889
KW_186,2649.639911,0.02828936,3.79893224416865e-07,7754473466.02358,7.438757493,0.209007572,7.229749921,19.952079,4.128156,16.308844,16.142754,48.361356,7.223711,46.010823,46.66532
KW_187,2649.646976,0.028126687,3.77888797885794e-07,7754473428.61902,7.438713636,0.209027009,7.229686627,21.186716,4.570673,17.792,17.75196,10.604537,3.994479,7.578861,7.745188
KW_188,2649.655488,0.038129155,5.27206028725232e-07,7754473383.53223,7.438644448,0.209005318,7.229639129,18.73646,2.198991,17.413548,17.522923,8.972384,2.738395,7.000748,7.103065
KW_189,2649.659696,0.037018429,4.81727145490881e-07,7754473361.25853,7.438466794,0.209060854,7.22940594,20.503634,4.770981,17.938555,17.107705,12.765614,5.39646,7.853521,7.929627
KW_190,2649.653507,0.031531707,4.57043662011879e-07,7754473394.03248,7.438782845,0.209058966,7.229723879,22.836561,6.543811,17.24732,17.50136,14.00174,7.050818,7.447349,7.35332
KW_191,2649.646651,0.037261431,5.12943009952288e-07,7754473430.32306,7.438761298,0.209136616,7.229624683,22.629539,6.341732,18.255055,18.506336,12.48789,5.468604,7.503995,7.688802
KW_192,2649.649284,0.030884928,4.33327629539744e-07,7754473416.38958,7.438677541,0.209056155,7.229621386,23.132247,6.371745,17.266648,17.107577,12.23863,5.370556,7.514394,7.671928
KW_193,2649.647063,0.046753737,6.70347848483092e-07,7754473428.14934,7.438526406,0.20902043,7.229505976,23.025633,6.310542,17.638023,17.518914,14.523684,6.546191,8.615648,8.671239
KW_194,2649.653515,0.023737257,3.32281309834917e-07,7754473393.995,7.438826736,0.209057493,7.229769243,20.148386,5.920516,16.091506,16.630035,13.721052,6.845809,7.321262,8.11905
KW_195,2649.657263,0.025589256,3.35577450225915e-07,7754473374.15004,7.438638132,0.20902091,7.229617221,17.672353,2.525112,15.868869,15.691141,8.709663,2.637964,7.072858,7.068065
KW_196,2649.657405,0.035224265,4.79825611590717e-07,7754473373.38783,7.43828241,0.209025512,7.229256899,22.127618,5.159697,18.363781,18.142719,12.009614,4.922183,7.934928,7.526688
KW_197,2649.648777,0.012828238,1.89891693283271e-07,7754473419.07481,7.438681274,0.208999224,7.229682049,21.980231,6.406375,16.169994,16.567254,13.538914,6.416758,7.35967,7.748945
KW_198,2649.645725,0.038155451,5.30400479727999e-07,7754473435.23403,7.438728272,0.20902091,7.229707362,21.994453,5.148186,17.55195,17.267882,13.021217,5.776753,7.732294,7.884493
KW_199,2649.64546,0.031103843,4.40293937474003e-07,7754473436.63678,7.438636955,0.209002071,7.229634884,19.358076,3.491718,16.211947,16.061254,10.751423,4.17079,8.020005,7.939884
KW_200,2649.640078,0.037263936,5.06774013664412e-07,7754473465.13811,7.438397154,0.209017738,7.229379416,23.844243,6.666261,17.317993,17.244861,14.119114,6.584295,7.863152,8.104052
KW_201,2649.64581,0.028662061,3.76951098860161e-07,7754473434.7941,7.438799366,0.209116648,7.229682718,22.771931,5.728286,18.173605,18.259288,11.743572,4.620929,7.345278,7.753278
