Z13,Z19,MeanZ13,MeanZ19,OuterEdgeLengthZ13,OuterEdgeLengthZ19,SurfaceZ13,SurfaceZ19,VarianceZ13,VarianceZ19,Max_DeviationZ13,Max_DeviationZ19,Min_DeviationZ13,Min_DeviationZ19,Span_DeviationZ13,Span_DeviationZ19,Fi_liZ13,Fi_liZ19,Fi_reZ13,Fi_reZ19,fl_liZ13,fl_liZ19,fl_reZ13,fl_reZ19,fk_liZ13,fk_liZ19,fk_reZ13,fk_reZ19,fi_liZ13,fi_liZ19,fi_reZ13,fi_reZ19
49.0,49.0,2649.618776,1825.527713,0.035108344,9.364127043,4.9e-07,0.000124569,7754473578,2532849077,7.438733217,7.428426184,0.20900356,0.187546764,7.229729657,7.24087942,18.788898,9996.18,8.971879,10072.64127,4.507854,15.6119,4.997955,14.05628,15.757669,9996.15917,4.796507,10080.88161,16.051562,9996.18,4.731779,10072.64127
50.0,28.0,2649.630029,1825.527713,0.029730707,9.364127043,4.45e-07,0.000124569,7754473518,2532849077,7.438711217,7.428426184,0.209063626,0.187546764,7.229647591,7.24087942,19.520705,9996.18,9.663911,10072.64127,4.639246,15.6119,4.79344,14.05628,15.092792,9996.15917,5.152459,10080.88161,14.937441,9996.18,4.663582,10072.64127
50.0,79.0,2649.630029,1825.507235,0.029730707,9.264995967,4.45e-07,0.000120557,7754473518,2532849151,7.438711217,7.428363909,0.209063626,0.187419413,7.229647591,7.240944496,19.520705,10005.60291,9.663911,10006.03819,4.639246,9.50874,4.79344,7.79926,15.092792,10005.88381,5.152459,10007.19486,14.937441,10005.60291,4.663582,10006.03819
57.0,51.0,2649.628833,1825.492724,0.046467497,9.194361127,7.23e-07,0.000119025,7754473525,2532849204,7.438522891,7.428235809,0.209139199,0.187442493,7.229383691,7.240793317,13.450515,10022.85734,9.930559,10022.83227,3.809388,15.41212,4.254269,12.92344,11.906409,10027.76058,5.722827,10022.91351,11.902269,10022.85734,5.773161,10022.83227
62.0,54.0,2649.613773,1825.505635,0.036456915,9.359098591,5.32e-07,0.000121958,7754473604,2532849157,7.438679121,7.42854436,0.209049007,0.187533497,7.229630114,7.241010862,17.096517,10009.57606,11.050799,10006.18645,5.434246,16.90916,6.05884,14.46183,12.044602,10011.8873,5.518137,10008.61902,12.291945,10009.57606,5.086905,10006.18645
62.0,75.0,2649.613773,1825.505635,0.036456915,9.359098591,5.32e-07,0.000121958,7754473604,2532849157,7.438679121,7.42854436,0.209049007,0.187533497,7.229630114,7.241010862,17.096517,10009.57606,11.050799,10006.18645,5.434246,16.90916,6.05884,14.46183,12.044602,10011.8873,5.518137,10008.61902,12.291945,10009.57606,5.086905,10006.18645
69.0,8.0,2649.617817,1825.511823,0.043229441,9.29680018,6.09e-07,0.000120201,7754473583,2532849135,7.438550447,7.428548618,0.20914241,0.187520574,7.229408036,7.241028044,14.918743,10008.69368,7.876521,10009.68007,4.189054,15.05099,3.804788,11.61287,11.957419,10009.31428,5.075023,10011.67191,11.701297,10008.69368,4.739584,10009.68007
71.0,42.0,2649.61023,1825.519179,0.046264594,9.452057062,6.59e-07,0.000122885,7754473623,2532849108,7.438654245,7.428632192,0.209138148,0.187492858,7.229516097,7.241139334,17.848912,9998.72274,11.112798,9997.86419,5.174898,10.8695,6.156195,7.91364,12.752268,9999.51993,5.5176,9998.44139,12.904922,9998.72274,5.405183,9997.86419
74.0,17.0,2649.623291,1825.515731,0.043602553,9.307446556,6.55e-07,0.000122236,7754473554,2532849120,7.43873029,7.429038976,0.209088641,0.187467723,7.229641649,7.241571253,17.013648,10005.83331,11.147438,9999.17547,6.437908,17.6175,6.40042,16.54644,12.073591,10006.88366,5.830712,10000.14276,11.818332,10005.83331,5.582653,9999.17547
78.0,73.0,2649.63236,1825.512604,0.042843019,9.3207779,6.31e-07,0.000123294,7754473506,2532849132,7.438755978,7.428217083,0.20904737,0.18753458,7.229708608,7.240682503,33.252517,10011.31877,12.403493,10016.2263,8.871367,17.18042,6.966954,18.66933,26.792454,10011.42626,6.253867,10016.2054,27.84687,10011.31877,6.463198,10016.2263
