Z13,Mean,Outer Edge Length,Surface,Variance,Max_Deviation,Min_Deviation,Span_Deviation,Fi li,fl li,fk li,fi li,Fi re,fl re,fk re,fi re
165,2649.646704,0.024664199,3.27E-07,7754473430,7.438312012,0.20904111,7.229270901,19.975058,5.561169,15.25173,15.491141,11.560935,5.521747,6.866026,7.116973
166,2649.655351,0.031853755,4.08E-07,7754473384,7.438663714,0.209053461,7.229610253,20.294844,2.847218,17.855424,17.534676,9.493709,2.278178,7.869601,7.607514
167,2649.643919,0.034321163,4.67E-07,7754473445,7.438404071,0.209025315,7.229378756,19.732803,4.165633,16.917502,16.934567,10.710585,4.228502,7.701943,7.312016
168,2649.650762,0.034793965,4.59E-07,7754473409,7.438691615,0.209150794,7.229540821,22.551951,5.998695,17.798325,17.997396,12.26282,5.543071,7.639632,8.238001
169,2649.654736,0.028131044,3.96E-07,7754473388,7.438409173,0.209126293,7.229282879,23.235741,6.198783,17.80452,17.363402,12.735273,6.01881,9.035297,9.201905
170,2649.644963,0.016716088,2.09E-07,7754473439,7.43835896,0.209151084,7.229207876,19.348534,5.058783,15.632837,15.86713,11.040444,4.246924,8.25482,8.008221
171,2649.645005,0.0362605,5.20E-07,7754473439,7.438634442,0.20901942,7.229615022,20.72283,4.353038,16.673388,16.858254,11.421128,4.601041,7.846281,8.068998
172,2649.647966,0.022930446,3.05E-07,7754473423,7.438733042,0.20901266,7.229720383,19.083529,4.166078,15.88621,16.165313,13.667202,5.074173,9.336931,8.819869
173,2649.644837,0.042582697,5.78E-07,7754473440,7.438720105,0.209040907,7.229679198,23.394161,7.224396,18.618507,19.206553,14.496328,7.373997,7.64065,8.479973
174,2649.637402,0.039153477,5.40E-07,7754473479,7.438653328,0.208999178,7.229654151,23.217359,6.359482,17.734036,18.254414,13.526596,5.060866,8.550623,8.308845
175,2649.649566,0.025699512,3.65E-07,7754473415,7.438658235,0.209056393,7.229601843,20.901888,5.566955,15.865223,16.335895,11.731813,4.370257,8.160797,7.976833
176,2649.646044,0.041567427,5.67E-07,7754473434,7.438324077,0.209106453,7.229217624,22.273552,5.165648,17.609209,16.853264,12.399318,5.828797,10.15235,10.355871
177,2649.643632,0.032713124,4.51E-07,7754473446,7.438683774,0.209155598,7.229528176,21.835995,6.359693,17.246075,17.401159,12.895897,6.249029,8.16836,8.320552
178,2649.657184,0.023862035,3.32E-07,7754473375,7.438700367,0.20913944,7.229560928,18.445524,3.297174,16.483768,16.265942,9.593776,2.707423,7.790072,7.847318
179,2649.665086,0.021899448,3.03E-07,7754473333,7.438709292,0.20910791,7.229601382,19.612913,4.127796,16.219795,16.059559,9.972455,2.813972,7.542077,7.228406
180,2649.651399,0.027329012,3.75E-07,7754473405,7.438480272,0.209105205,7.229375067,23.416592,4.548916,21.524372,21.73415,12.718398,5.428552,11.205583,10.746692
181,2649.646711,0.023576166,3.36E-07,7754473430,7.43863066,0.208981894,7.229648765,20.014523,4.210102,16.776786,16.959778,11.954505,4.965769,9.597774,8.767061
182,2649.641445,0.041317655,5.66E-07,7754473458,7.438774253,0.209011169,7.229763083,21.005279,4.368629,17.315267,17.450273,10.58369,3.734769,7.613502,7.903477
183,2649.646643,0.025301743,3.28E-07,7754473430,7.438631487,0.209077196,7.229554291,21.686962,5.131251,16.824519,16.613833,10.776314,4.135365,7.002568,7.584775
184,2649.648846,0.026637027,3.88E-07,7754473419,7.438640779,0.209056356,7.229584423,23.437519,6.802957,19.860446,19.566487,14.049476,6.929058,8.333939,7.982768
185,2649.648631,0.020851398,2.79E-07,7754473420,7.438631201,0.209088014,7.229543186,20.734135,5.02911,16.402833,16.41598,13.063762,6.444161,7.955427,8.051889
186,2649.639911,0.02828936,3.80E-07,7754473466,7.438757493,0.209007572,7.229749921,19.952079,4.128156,16.308844,16.142754,48.361356,7.223711,46.010823,46.66532
187,2649.646976,0.028126687,3.78E-07,7754473429,7.438713636,0.209027009,7.229686627,21.186716,4.570673,17.792,17.75196,10.604537,3.994479,7.578861,7.745188
188,2649.655488,0.038129155,5.27E-07,7754473384,7.438644448,0.209005318,7.229639129,18.73646,2.198991,17.413548,17.522923,8.972384,2.738395,7.000748,7.103065
189,2649.659696,0.037018429,4.82E-07,7754473361,7.438466794,0.209060854,7.22940594,20.503634,4.770981,17.938555,17.107705,12.765614,5.39646,7.853521,7.929627
190,2649.653507,0.031531707,4.57E-07,7754473394,7.438782845,0.209058966,7.229723879,22.836561,6.543811,17.24732,17.50136,14.00174,7.050818,7.447349,7.35332
191,2649.646651,0.037261431,5.13E-07,7754473430,7.438761298,0.209136616,7.229624683,22.629539,6.341732,18.255055,18.506336,12.48789,5.468604,7.503995,7.688802
192,2649.649284,0.030884928,4.33E-07,7754473416,7.438677541,0.209056155,7.229621386,23.132247,6.371745,17.266648,17.107577,12.23863,5.370556,7.514394,7.671928
193,2649.647063,0.046753737,6.70E-07,7754473428,7.438526406,0.20902043,7.229505976,23.025633,6.310542,17.638023,17.518914,14.523684,6.546191,8.615648,8.671239
194,2649.653515,0.023737257,3.32E-07,7754473394,7.438826736,0.209057493,7.229769243,20.148386,5.920516,16.091506,16.630035,13.721052,6.845809,7.321262,8.11905
195,2649.657263,0.025589256,3.36E-07,7754473374,7.438638132,0.20902091,7.229617221,17.672353,2.525112,15.868869,15.691141,8.709663,2.637964,7.072858,7.068065
196,2649.657405,0.035224265,4.80E-07,7754473373,7.43828241,0.209025512,7.229256899,22.127618,5.159697,18.363781,18.142719,12.009614,4.922183,7.934928,7.526688
197,2649.648777,0.012828238,1.90E-07,7754473419,7.438681274,0.208999224,7.229682049,21.980231,6.406375,16.169994,16.567254,13.538914,6.416758,7.35967,7.748945
198,2649.645725,0.038155451,5.30E-07,7754473435,7.438728272,0.20902091,7.229707362,21.994453,5.148186,17.55195,17.267882,13.021217,5.776753,7.732294,7.884493
199,2649.64546,0.031103843,4.40E-07,7754473437,7.438636955,0.209002071,7.229634884,19.358076,3.491718,16.211947,16.061254,10.751423,4.17079,8.020005,7.939884
200,2649.640078,0.037263936,5.07E-07,7754473465,7.438397154,0.209017738,7.229379416,23.844243,6.666261,17.317993,17.244861,14.119114,6.584295,7.863152,8.104052
201,2649.64581,0.028662061,3.77E-07,7754473435,7.438799366,0.209116648,7.229682718,22.771931,5.728286,18.173605,18.259288,11.743572,4.620929,7.345278,7.753278
