Z13,Mean,Outer Edge Length,Surface,Variance,Max_Deviation,Min_Deviation,Span_Deviation,Fi li,fl li,fk li,fi li,Fi re,fl re,fk re,fi re
24,2649.609529,0.034223102,4.76E-07,7754473627,7.43866117,0.208996404,7.229664765,17.229676,2.778572,15.191936,15.354951,6.865298,3.024083,4.144281,4.072176
25,2649.6283,0.038534878,5.49E-07,7754473527,7.438720931,0.209119973,7.229600958,20.51247,5.170769,15.93194,15.400222,9.670212,5.914767,4.550127,4.598739
26,2649.635254,0.035405819,5.16E-07,7754473491,7.438713387,0.209036301,7.229677086,19.243571,5.802553,14.905301,14.464177,9.361628,5.134031,4.920838,4.452325
27,2649.627899,0.032441199,4.78E-07,7754473530,7.438794847,0.20914396,7.229650886,20.80442,6.285864,15.495998,15.761924,10.021547,5.958994,4.489689,4.430594
28,2649.631007,0.045427442,6.64E-07,7754473513,7.438692871,0.209055651,7.22963722,18.031624,4.464872,15.174555,14.98458,9.206228,4.959555,4.745065,4.662803
29,2649.630084,0.029945159,4.30E-07,7754473518,7.438781559,0.209124476,7.229657083,18.348176,4.107298,14.598843,15.462666,9.379466,4.926055,5.184798,4.385482
30,2649.639805,0.028594558,4.35E-07,7754473467,7.438640309,0.209110742,7.229529567,18.096954,4.826237,14.022506,13.934735,10.050116,5.689025,5.624951,5.451119
31,2649.627088,0.0454453,6.38E-07,7754473534,7.438387797,0.20901279,7.229375007,19.450811,4.956739,15.36215,14.813987,8.374845,4.261799,4.592619,4.418862
32,2649.626203,0.035949944,5.14E-07,7754473539,7.43835404,0.209088446,7.229265594,20.987755,6.666594,15.257294,16.237048,10.776357,6.771795,5.047521,4.939703
33,2649.629688,0.038915118,5.62E-07,7754473520,7.438665767,0.209018088,7.229647679,20.109174,5.912695,15.20467,15.231246,19.391957,5.990943,19.862431,19.120148
34,2649.626112,0.043766282,6.33E-07,7754473539,7.438677256,0.209105159,7.229572097,20.285324,5.417723,15.9259,15.887347,10.013857,5.568212,5.181964,5.18521
35,2649.623015,0.038766603,5.58E-07,7754473555,7.438483646,0.209038192,7.229445453,18.218345,4.359088,15.571364,15.481172,8.116986,3.769296,4.662142,4.580131
36,2649.63265,0.042064651,5.90E-07,7754473504,7.438657173,0.208986261,7.229670912,19.479462,4.136453,16.370937,16.441423,8.063456,3.96927,5.937757,5.838476
37,2649.625092,0.034884598,5.03E-07,7754473544,7.438632201,0.209074366,7.229557835,20.198226,5.702449,15.111123,15.42527,10.353981,6.470755,4.552577,4.253996
38,2649.632851,0.030225832,4.29E-07,7754473503,7.438655976,0.209064085,7.229591891,18.699933,5.115223,14.582567,14.888975,10.074513,6.029786,4.411502,4.532227
39,2649.637304,0.032606965,4.74E-07,7754473480,7.438391747,0.209113152,7.229278595,19.440622,5.659202,14.418499,14.565887,8.926436,5.211563,4.974389,4.628787
40,2649.627541,0.037889601,5.37E-07,7754473531,7.438514193,0.209033623,7.22948057,21.071454,5.732021,15.937472,15.529757,8.908451,4.507308,4.646658,5.252361
41,2649.620374,0.039815351,5.57E-07,7754473569,7.438798242,0.209102108,7.229696134,20.228466,4.066963,16.443115,15.896753,8.682705,4.62842,5.329239,5.060241
42,2649.621067,0.042543029,6.17E-07,7754473566,7.438658673,0.20911707,7.229541603,20.02984,4.541912,15.871961,15.21272,7.906994,3.26927,5.021498,5.023996
43,2649.631856,0.041203503,6.00E-07,7754473509,7.438532143,0.209124466,7.229407678,18.798911,4.567162,15.406445,15.328815,15.668056,5.414274,11.636556,11.8896
44,2649.631133,0.036761254,5.15E-07,7754473512,7.438556209,0.208999014,7.229557195,18.868868,4.947821,15.576812,15.501053,9.462734,5.487982,5.181218,5.501306
45,2649.62898,0.046368996,6.67E-07,7754473524,7.438669011,0.208985828,7.229683183,21.549785,6.342096,15.803565,15.251222,11.113782,6.205254,5.216902,4.846141
46,2649.628071,0.029714082,4.23E-07,7754473529,7.438648301,0.209074877,7.229573424,18.643649,4.939407,14.669857,14.528968,8.639161,4.360976,4.543134,4.570117
47,2649.627601,0.046338977,6.53E-07,7754473531,7.438669089,0.209083785,7.229585304,19.225893,4.937957,15.449602,15.521019,9.129415,4.338563,5.436275,5.136695
48,2649.617528,0.030223036,4.35E-07,7754473585,7.43845,0.209045445,7.229404555,19.414907,4.294541,15.666302,15.747889,9.83058,5.60948,5.032567,5.145636
49,2649.618776,0.035108344,4.90E-07,7754473578,7.438733217,0.20900356,7.229729657,18.788898,4.507854,15.757669,16.051562,8.971879,4.997955,4.796507,4.731779
50,2649.630029,0.029730707,4.45E-07,7754473518,7.438711217,0.209063626,7.229647591,19.520705,4.639246,15.092792,14.937441,9.663911,4.79344,5.152459,4.663582
51,2649.609812,0.033406844,4.66E-07,7754473625,7.438657251,0.209101552,7.229555699,21.721177,6.042484,16.497877,15.835934,20.790998,6.014618,15.725951,15.976621
52,2649.615574,0.035374742,5.02E-07,7754473595,7.438758418,0.209030082,7.229728336,14.1445,3.90813,12.577784,12.20397,8.310561,3.546418,6.307911,6.230025
53,2649.624512,0.023810034,3.47E-07,7754473548,7.438473553,0.209076813,7.22939674,15.521642,5.542341,10.676216,11.64331,12.206992,6.825711,6.071173,5.589401
54,2649.615321,0.0301738,4.11E-07,7754473596,7.43825086,0.209128468,7.229122392,13.705561,3.081544,11.518126,11.484092,7.898128,3.448573,5.376253,5.165176
55,2649.624753,0.032228371,4.50E-07,7754473546,7.438715948,0.209010757,7.229705191,14.833498,4.341368,11.346306,11.113986,7.983486,3.726732,5.44952,5.395383
56,2649.609896,0.034335403,4.56E-07,7754473625,7.438869778,0.209116863,7.229752915,13.526139,2.542279,13.813482,13.414568,6.014068,1.792112,5.044209,4.672625
57,2649.628833,0.046467497,7.23E-07,7754473525,7.438522891,0.209139199,7.229383691,13.450515,3.809388,11.906409,11.902269,9.930559,4.254269,5.722827,5.773161
58,2649.626853,0.04547494,6.73E-07,7754473535,7.438633644,0.209098008,7.229535636,17.420586,5.954719,11.628018,11.799667,11.740733,6.756007,5.619257,5.84344
59,2649.610245,0.032940076,4.58E-07,7754473623,7.438624915,0.209095926,7.229528989,13.653872,3.061964,11.710035,11.906327,7.407738,2.761127,5.145616,4.627335
